ID_number,Player Name,Position,Team
75,Brett Rypien,QB,CIN
76,Adrian Martinez,QB,SF
77,Kedon Slovis,QB,ARI
78,Jarrett Stidham,QB,DEN
79,Kyle Allen,QB,DET
80,Jimmy Garoppolo,QB,LAR
81,Jonathan Taylor,RB,IND
82,Christian McCaffrey,RB,SF
83,Bijan Robinson,RB,ATL
84,Jahmyr Gibbs,RB,DET
85,James Cook,RB,BUF
86,Derrick Henry,RB,BAL
87,De'Von Achane,RB,MIA
88,Kyren Williams,RB,LAR
89,Travis Etienne,RB,JAC
90,Javonte Williams,RB,DAL
91,Chase Brown,RB,CIN
92,Josh Jacobs,RB,GB
93,D'Andre Swift,RB,CHI
94,Saquon Barkley,RB,PHI
95,Ashton Jeanty,RB,LV
96,Rico Dowdle,RB,CAR
97,Jaylen Warren,RB,PIT
98,TreVeyon Henderson,RB,NE
99,Breece Hall,RB,NYJ
100,RJ Harvey,RB,DEN
101,Kenneth Walker,RB,SEA
102,Zach Charbonnet,RB,SEA
103,Tony Pollard,RB,TEN
104,Kenneth Gainwell,RB,PIT
105,Rhamondre Stevenson,RB,NE
106,Quinshon Judkins,RB,CLE
107,David Montgomery,RB,DET
108,Jacory Croskey-Merritt,RB,WAS
109,Kareem Hunt,RB,KC
110,Woody Marks,RB,HOU
111,Tyrone Tracy Jr.,RB,NYG
112,Kyle Monangai,RB,CHI
113,Jordan Mason,RB,MIN
114,Blake Corum,RB,LAR
115,Bucky Irving,RB,TB
116,Tyler Allgeier,RB,ATL
117,J.K. Dobbins,RB,DEN
118,Omarion Hampton,RB,LAC
119,Cam Skattebo,RB,NYG
120,Rachaad White,RB,TB
121,Kimani Vidal,RB,LAC
122,Chuba Hubbard,RB,CAR
123,Aaron Jones,RB,MIN
124,Chris Rodriguez Jr.,RB,WAS
125,Devin Singletary,RB,NYG
126,Sean Tucker,RB,TB
127,Bhayshul Tuten,RB,JAC
128,Emanuel Wilson,RB,GB
129,Ty Johnson,RB,BUF
130,Nick Chubb,RB,HOU
131,Bam Knight,RB,ARI
132,Alvin Kamara,RB,NO
133,Isiah Pacheco,RB,KC
134,Tyjae Spears,RB,TEN
135,Michael Carter,RB,ARI
136,Samaje Perine,RB,CIN
137,Dylan Sampson,RB,CLE
138,Brian Robinson Jr.,RB,SF
139,Tank Bigsby,RB,JAC
140,Isaiah Davis,RB,NYJ
141,Ray Davis,RB,BUF
142,Jeremy McNichols,RB,WAS
143,Emari Demercado,RB,ARI
144,Ollie Gordon II,RB,MIA
145,Keaton Mitchell,RB,BAL
146,Jaylen Wright,RB,MIA
147,Justice Hill,RB,BAL
148,Devin Neal,RB,NO
149,Malik Davis,RB,DAL
150,Brashard Smith,RB,KC
151,Audric Estime,RB,NO
152,Kyle Juszczyk,RB,SF
153,Kendre Miller,RB,NO
154,Jaleel McLaughlin,RB,DEN
155,Zavier Scott,RB,MIN
156,James Conner,RB,ARI
157,Hunter Luepke,RB,DAL
158,Jawhar Jordan,RB,HOU
159,Jaret Patterson,RB,LAC
160,Trey Benson,RB,ARI
161,Ameer Abdullah,RB,IND
162,Miles Sanders,RB,DAL
163,Chris Brooks,RB,GB
164,Jaydon Blue,RB,DAL
165,Jerome Ford,RB,CLE
166,Raheem Mostert,RB,LV
167,Raheim Sanders,RB,CLE
168,Antonio Gibson,RB,NE
169,Andrew Beck,RB,NYJ
170,Tyler Badie,RB,DEN
171,Dare Ogunbowale,RB,HOU
172,Braelon Allen,RB,NYJ
173,Rasheen Ali,RB,BAL
174,LeQuint Allen,RB,JAC
175,George Holani,RB,SEA
176,Terrell Jennings,RB,NE
177,C.J. Ham,RB,MIN
178,Trevor Etienne,RB,CAR
179,Will Shipley,RB,PHI
180,Brittain Brown,RB,CHI
181,Adam Prentice,RB,DEN
182,DJ Giddens,RB,IND
183,Trayveon Williams,RB,LAC
184,Phil Mafah,RB,DAL
185,Najee Harris,RB,LAC
186,AJ Dillon,RB,PHI
187,Austin Ekeler,RB,WAS
188,British Brooks,RB,HOU
189,Kaleb Johnson,RB,PIT
190,Corey Kiner,RB,ARI
191,Alec Ingold,RB,MIA
192,Nathan Carter,RB,ATL
193,Hassan Haskins,RB,LAC
194,Ty Chandler,RB,MIN
195,Khalil Herbert,RB,NYJ
196,Zamir White,RB,LV
197,Tahj Brooks,RB,CIN
198,Evan Hull,RB,NO
199,Kene Nwangwu,RB,NYJ
200,Ronnie Rivers,RB,LAR
201,Julius Chestnut,RB,TEN
202,Dameon Pierce,RB,HOU
203,Tyler Goodson,RB,IND
204,Reggie Gilliam,RB,BUF
205,Dylan Laube,RB,LV
206,D'Ernest Johnson,RB,ARI
207,Clyde Edwards-Helaire,RB,KC
208,DeeJay Dallas,RB,CAR
209,Jacardia Wright,RB,SEA
210,Cam Akers,RB,MIN
211,Roschon Johnson,RB,CHI
212,Patrick Ricard,RB,BAL
213,Jacob Saylors,RB,DET
214,Josh Williams,RB,TB
215,Amar Johnson,RB,LAC
216,Kalel Mullings,RB,TEN
217,Myles Gaskin,RB,SEA
218,Owen Wright,RB,TB
219,Craig Reynolds,RB,DET
220,Sione Vaki,RB,DET
221,Kendall Milton,RB,CIN
222,Ulysses Bentley IV,RB,IND
223,Elijah Mitchell,RB,KC
224,Nyheim Hines,RB,LAC
225,Travis Homer,RB,CHI
226,Puka Nacua,WR,LAR
227,Jaxon Smith-Njigba,WR,SEA
228,Amon-Ra St. Brown,WR,DET
229,George Pickens,WR,DAL
230,Ja'Marr Chase,WR,CIN
231,Chris Olave,WR,NO
232,Zay Flowers,WR,BAL
233,Davante Adams,WR,LAR
234,Nico Collins,WR,HOU
235,Jameson Williams,WR,DET
236,Tee Higgins,WR,CIN
237,Courtland Sutton,WR,DEN
238,Tetairoa McMillan,WR,CAR
239,Michael Wilson,WR,ARI
240,A.J. Brown,WR,PHI
241,Alec Pierce,WR,IND
242,Drake London,WR,ATL
243,Emeka Egbuka,WR,TB
244,Jaylen Waddle,WR,MIA
245,DK Metcalf,WR,PIT
246,CeeDee Lamb,WR,DAL
247,Wan'Dale Robinson,WR,NYG
248,Stefon Diggs,WR,NE
249,DeVonta Smith,WR,PHI
250,Quentin Johnston,WR,LAC
251,Michael Pittman Jr.,WR,IND
252,Jauan Jennings,WR,SF
253,D.J. Moore,WR,CHI
254,Justin Jefferson,WR,MIN
255,Deebo Samuel,WR,WAS
256,Ladd McConkey,WR,LAC
257,Parker Washington,WR,JAC
258,Romeo Doubs,WR,GB
259,Troy Franklin,WR,DEN
260,Tre Tucker,WR,LV
261,Jakobi Meyers,WR,LV
262,Rome Odunze,WR,CHI
263,Keenan Allen,WR,LAC
264,Christian Watson,WR,GB
265,Khalil Shakir,WR,BUF
266,Rashee Rice,WR,KC
267,Jordan Addison,WR,MIN
268,Kayshon Boutte,WR,NE
269,Brian Thomas Jr.,WR,JAC
270,Marquise Brown,WR,KC
271,Jayden Higgins,WR,HOU
272,Rashid Shaheed,WR,NO
273,Marvin Harrison Jr.,WR,ARI
274,Luther Burden III,WR,CHI
275,Josh Downs,WR,IND
276,Terry McLaurin,WR,WAS
277,Elic Ayomanor,WR,TEN
278,Ryan Flournoy,WR,DAL
279,Jerry Jeudy,WR,CLE
280,Cooper Kupp,WR,SEA
281,Jalen Nailor,WR,MIN
282,Chimere Dike,WR,TEN
283,Xavier Worthy,WR,KC
284,Mack Hollins,WR,NE
285,Malik Washington,WR,MIA
286,Demario Douglas,WR,NE
287,Tez Johnson,WR,TB
288,Keon Coleman,WR,BUF
289,Garrett Wilson,WR,NYJ
290,Xavier Hutchinson,WR,HOU
291,Tyquan Thornton,WR,KC
292,KaVontae Turpin,WR,DAL
293,Isaac TeSlaa,WR,DET
294,Darius Slayton,WR,NYG
295,Jalen Coker,WR,CAR
296,Andrei Iosivas,WR,CIN
297,Adonai Mitchell,WR,IND
298,Calvin Austin,WR,PIT
299,Kendrick Bourne,WR,SF
300,Mike Evans,WR,TB
301,Xavier Legette,WR,CAR
302,Ricky Pearsall,WR,SF
303,Marvin Mims,WR,DEN
304,Darnell Mooney,WR,ATL
305,Chris Godwin,WR,TB
306,Greg Dortch,WR,ARI
307,Tory Horton,WR,SEA
308,Dontayvion Wicks,WR,GB
309,Olamide Zaccheaus,WR,CHI
310,DeAndre Hopkins,WR,BAL
311,Sterling Shepard,WR,TB
312,Pat Bryant,WR,DEN
313,Jaylin Noel,WR,HOU
314,Devaughn Vele,WR,NO
315,Tyler Lockett,WR,TEN
316,Matthew Golden,WR,GB
317,Van Jefferson,WR,TEN
318,JuJu Smith-Schuster,WR,KC
319,Tre Harris,WR,LAC
320,Kyle Williams,WR,NE
321,Malik Nabers,WR,NYG
322,Cedric Tillman,WR,CLE
323,John Metchie,WR,PHI
324,Luke McCaffrey,WR,WAS
325,Kalif Raymond,WR,DET
326,Isaiah Bond,WR,CLE
327,Tim Patrick,WR,JAC
328,Travis Hunter,WR,JAC
329,Rashod Bateman,WR,BAL
330,Demarcus Robinson,WR,SF
331,Tyreek Hill,WR,MIA
332,Jahan Dotson,WR,PHI
333,Dyami Brown,WR,JAC
334,Devontez Walker,WR,BAL
335,David Sills,WR,ATL
336,Tyrell Shavers,WR,BUF
337,Josh Palmer,WR,BUF
338,Calvin Ridley,WR,TEN
339,Xavier Smith,WR,LAR
340,Christian Kirk,WR,HOU
341,Jayden Reed,WR,GB
342,Roman Wilson,WR,PIT
343,Brandin Cooks,WR,NO
344,Chris Moore,WR,WAS
345,Jalen Tolbert,WR,DAL
346,Tyler Johnson,WR,NYJ
347,Tutu Atwell,WR,LAR
348,Mitchell Tinsley,WR,CIN
349,Jaylin Lane,WR,WAS
350,Isaiah Williams,WR,NYJ
351,Jack Bech,WR,LV
352,Lil'Jordan Humphrey,WR,NYG
353,Hunter Renfrow,WR,CAR
354,Jahdae Walker,WR,CHI
355,Malachi Corley,WR,CLE
356,Gunner Olszewski,WR,NYG
357,Kevin Austin Jr.,WR,NO
358,Theo Wease Jr.,WR,MIA
359,Elijah Moore,WR,BUF
360,Treylon Burks,WR,WAS
361,Gabe Davis,WR,BUF
362,Adam Thielen,WR,MIN
363,Zay Jones,WR,ARI
364,Jordan Whittington,WR,LAR
365,Marquez Valdes-Scantling,WR,SF
366,Jalen McMillan,WR,TB
367,Jimmy Horn Jr.,WR,CAR
368,Isaiah Hodgins,WR,NYG
369,Savion Williams,WR,GB
370,Brycen Tremayne,WR,CAR
371,Konata Mumpfield,WR,LAR
372,Ashton Dulin,WR,IND
373,Cody White,WR,SEA
374,Curtis Samuel,WR,BUF
375,Efton Chism,WR,NE
376,Kameron Johnson,WR,TB
377,Dont'e Thornton Jr.,WR,LV
378,Allen Lazard,WR,NYJ
379,Ben Skowronek,WR,PIT
380,Dante Pettis,WR,NO
381,Shedrick Jackson,WR,LV
382,KeAndre Lambert-Smith,WR,LAC
383,Michael Bandy,WR,DEN
384,Jamari Thrash,WR,CLE
385,Tylan Wallace,WR,BAL
386,Josh Reynolds,WR,NYJ
387,Skyy Moore,WR,SF
388,Ryan Miller,WR,TB
389,Mason Tipton,WR,NO
390,Casey Washington,WR,ATL
391,Darius Cooper,WR,PHI
392,Nick Westbrook-Ikhine,WR,MIA
393,Malik Heath,WR,GB
394,Ronnie Bell,WR,NO
395,Noah Brown,WR,WAS
396,Gage Larvadain,WR,CLE
397,Ray-Ray McCloud,WR,ATL
398,Xavier Weaver,WR,ARI
399,James Proche,WR,TEN
400,Arian Smith,WR,NYJ
401,Dee Eskridge,WR,MIA
402,Scotty Miller,WR,PIT
403,Robbie Chosen,WR,WAS
404,Jalen Brooks,WR,ARI
405,Mason Kinsey,WR,TEN
406,Dareke Young,WR,SEA
407,Austin Trammell,WR,JAC
408,Cedrick Wilson,WR,MIA
409,Dylan Drummond,WR,ATL
410,Xavier Restrepo,WR,TEN
411,Braxton Berrios,WR,HOU
412,Tahj Washington,WR,MIA
413,Tom Kennedy,WR,DET
414,Jalin Hyatt,WR,NYG
415,Velus Jones Jr.,WR,SEA
416,Nikko Remigio,WR,KC
417,Deven Thompkins,WR,ATL
418,KhaDarel Hodge,WR,ATL
419,Justin Watson,WR,HOU
420,Devin Duvernay,WR,CHI
421,Jordan Watkins,WR,SF
422,Beaux Collins,WR,NYG
423,Tai Felton,WR,MIN
424,Jacoby Jones,WR,WAS
425,Jonathan Mingo,WR,DAL
426,Tay Martin,WR,WAS
427,Trent Sherfield,WR,DEN
428,Jake Bobo,WR,SEA
429,Britain Covey,WR,PHI
430,Jared Wayne,WR,HOU
431,David Moore,WR,CAR
432,Derius Davis,WR,LAC
433,Tim Jones,WR,JAC
434,Jakobie Keeney-James,WR,GB
435,Ke'Shawn Williams,WR,PIT
436,Alex Bachman,WR,LV
437,Quentin Skinner,WR,NYJ
438,Andre Baccellia,WR,ARI
439,Bryce Oliver,WR,TEN
440,Xavier Gipson,WR,NYJ
441,Anthony Gould,WR,IND
442,Jalen Royals,WR,KC
443,Samori Toure,WR,NO
444,Malik Cunningham,WR,DET
445,Jamal Agnew,WR,ATL
446,Jason Brownlee,WR,KC
447,Mecole Hardman,WR,BUF
448,Charlie Jones,WR,CIN
449,Coleman Owen,WR,IND
450,Myles Price,WR,MIN
451,Steven Sims,WR,ARI
452,Malik Turner,WR,SF
453,LaJohntay Wester,WR,BAL
454,Trey McBride,TE,ARI
455,Dallas Goedert,TE,PHI
456,Kyle Pitts,TE,ATL
457,Hunter Henry,TE,NE
458,Harold Fannin Jr.,TE,CLE
459,Travis Kelce,TE,KC
460,Tyler Warren,TE,IND
461,Brock Bowers,TE,LV
462,Jake Ferguson,TE,DAL
463,Colston Loveland,TE,CHI
464,Juwan Johnson,TE,NO
465,George Kittle,TE,SF
466,Dalton Schultz,TE,HOU
467,AJ Barner,TE,SEA
468,Colby Parkinson,TE,LAR
469,Dalton Kincaid,TE,BUF
470,Tucker Kraft,TE,GB
471,Oronde Gadsden,TE,LAC
472,Mark Andrews,TE,BAL
473,Theo Johnson,TE,NYG
474,Zach Ertz,TE,WAS
475,Pat Freiermuth,TE,PIT
476,Brenton Strange,TE,JAC
477,Chigoziem Okonkwo,TE,TEN
478,Sam LaPorta,TE,DET
479,Dawson Knox,TE,BUF
480,Darren Waller,TE,MIA
481,Cade Otton,TE,TB
482,T.J. Hockenson,TE,MIN
483,Jake Tonges,TE,SF
484,David Njoku,TE,CLE
485,Evan Engram,TE,DEN
486,Gunnar Helm,TE,TEN
487,Jonnu Smith,TE,PIT
488,Noah Fant,TE,CIN
489,Cole Kmet,TE,CHI
490,Tyler Higbee,TE,LAR
491,Mason Taylor,TE,NYJ
492,Mike Gesicki,TE,CIN
493,Darnell Washington,TE,PIT
494,Terrance Ferguson,TE,LAR
495,Daniel Bellinger,TE,NYG
496,Josh Oliver,TE,MIN
497,Davis Allen,TE,LAR
498,Greg Dulcich,TE,MIA
499,Michael Mayer,TE,LV
500,Austin Hooper,TE,NE
501,Tommy Tremble,TE,CAR
502,Jackson Hawes,TE,BUF
503,Isaiah Likely,TE,BAL
504,Elijah Higgins,TE,ARI
505,Mitchell Evans,TE,CAR
506,Tanner Hudson,TE,CIN
507,Taysom Hill,TE,NO
508,Charlie Kolar,TE,BAL
509,Adam Trautman,TE,DEN
510,Luke Musgrave,TE,GB
511,Ja'Tavion Sanders,TE,CAR
512,Connor Heyward,TE,PIT
513,Elijah Arroyo,TE,SEA
514,Jeremy Ruckert,TE,NYJ
515,Brock Wright,TE,DET
516,Luke Farrell,TE,SF
517,Hunter Long,TE,JAC
518,Noah Gray,TE,KC
519,Mo Alie-Cox,TE,IND
520,Ben Sinnott,TE,WAS
521,Drew Sample,TE,CIN
522,John Bates,TE,WAS
523,Brevyn Spann-Ford,TE,DAL
524,Julian Hill,TE,MIA
525,Grant Calcaterra,TE,PHI
526,John FitzPatrick,TE,GB
527,Luke Schoonmaker,TE,DAL
528,Quintin Morris,TE,JAC
529,Ian Thomas,TE,LV
530,Johnny Mundt,TE,JAC
531,Nate Adkins,TE,DEN
532,Jack Stoll,TE,NO
533,Tyler Conklin,TE,LAC
534,Will Dissly,TE,LAC
535,Josh Whyle,TE,GB
536,Tanner Conner,TE,MIA
537,David Martin-Robinson,TE,TEN
538,Andrew Ogletree,TE,IND
539,Josiah Deguara,TE,ARI
540,Cade Stover,TE,HOU
541,Devin Culp,TE,TB
542,Foster Moreau,TE,NO
543,Anthony Firkser,TE,DET
544,Stone Smartt,TE,NYJ
545,Brenden Bates,TE,HOU
546,Charlie Woerner,TE,ATL
547,Kylen Granson,TE,PHI
548,Albert Okwuegbunam,TE,LV
549,Keleki Latu,TE,BUF
550,Eric Saubert,TE,SEA
551,Ben Sims,TE,MIN
552,James Mitchell,TE,CAR
553,Durham Smythe,TE,CHI
554,Shane Zylstra,TE,DET
555,Tucker Fisk,TE,LAC
556,Tip Reiman,TE,ARI
557,Colson Yankoff,TE,WAS
558,Zaire Mitchell-Paden,TE,BAL
559,Will Mallory,TE,IND
560,Lucas Krull,TE,DEN
561,Ben Yurosek,TE,MIN
562,Sal Cannella,TE,CLE
563,Payne Durham,TE,TB
564,Moliki Matavao,TE,NO
565,Harrison Bryant,TE,HOU
566,Ross Dwelley,TE,DET
567,Cam Grandy,TE,CIN
568,Chris Manhertz,TE,NYG
569,Feleipe Franks,TE,ATL
570,Blake Whiteheart,TE,CLE
571,Jared Wiley,TE,KC
572,Jelani Woods,TE,NYJ
573,Drake Dabney,TE,GB
574,Carter Runyon,TE,LV
575,Pharaoh Brown,TE,ARI
576,Robert Tonyan,TE,KC
577,Nick Kallerup,TE,SEA
578,Giovanni Ricci,TE,DET
579,Brady Russell,TE,SEA
580,Jack Westover,TE,NE
581,Brayden Willis,TE,SF
582,Jason Myers,K,SEA
583,Ka'imi Fairbairn,K,HOU
584,Brandon Aubrey,K,DAL
585,Cameron Dicker,K,LAC
586,Cam Little,K,JAC
587,Jake Bates,K,DET
588,Andres Borregales,K,NE
589,Tyler Loop,K,BAL
590,Harrison Butker,K,KC
591,Will Reichard,K,MIN
592,Chase McLaughlin,K,TB
593,Chris Boswell,K,PIT
594,Wil Lutz,K,DEN
595,Eddy Pineiro,K,SF
596,Evan McPherson,K,CIN
597,Riley Patterson,K,MIA
598,Cairo Santos,K,CHI
599,Blake Grupe,K,NO
600,Chad Ryland,K,ARI
601,Joey Slye,K,TEN
602,Nick Folk,K,NYJ
603,Brandon McManus,K,GB
604,Jake Elliott,K,PHI
605,Matt Prater,K,BUF
606,Ryan Fitzgerald,K,CAR
607,Andre Szmyt,K,CLE
608,Daniel Carlson,K,LV
609,Matt Gay,K,WAS
610,Harrison Mevis,K,LAR
611,Zane Gonzalez,K,ATL
612,Jake Moody,K,SF
613,Mike Badgley,K,IND
614,Joshua Karty,K,LAR
615,Spencer Shrader,K,IND
616,Charlie Smyth,K,NO
617,John Parker Romo,K,ATL
618,Graham Gano,K,NYG
619,Younghoe Koo,K,ATL
620,Ben Sauls,K,NYG
621,Lucas Havrisik,K,GB
622,Matthew Wright,K,TEN
623,Jude McAtamney,K,NYG
624,Seahawks,DEF,17
625,Texans,DEF,17
626,Steelers,DEF,17
627,Jaguars,DEF,17
628,Bears,DEF,17
629,Browns,DEF,17
630,Rams,DEF,17
631,Falcons,DEF,17
632,Broncos,DEF,17
633,Patriots,DEF,17
634,Saints,DEF,17
635,Vikings,DEF,17
636,Buccaneers,DEF,17
637,Lions,DEF,17
638,Chargers,DEF,17
639,Eagles,DEF,17
640,Titans,DEF,17
641,Bengals,DEF,17
642,Bills,DEF,17
643,Colts,DEF,17
644,Dolphins,DEF,17
645,Panthers,DEF,17
646,Giants,DEF,17
647,Cardinals,DEF,17
648,Ravens,DEF,17
649,Commanders,DEF,17
650,Raiders,DEF,17
651,Cowboys,DEF,17
652,Packers,DEF,17
653,Chiefs,DEF,17
654,49ers,DEF,17
655,Jets,DEF,17
656,Myles Garrett,DL,CLE
657,Brian Burns,DL,NYG
658,Aidan Hutchinson,DL,DET
659,Maxx Crosby,DL,LV
660,Danielle Hunter,DL,HOU
661,Will Anderson Jr.,DL,HOU
662,Byron Young,DL,LAR
663,Jeffery Simmons,DL,TEN
664,Tuli Tuipulotu,DL,LAC
665,Nik Bonitto,DL,DEN
666,Montez Sweat,DL,CHI
667,Jalyx Hunt,DL,PHI
668,T.J. Watt,DL,PIT
669,Laiatu Latu,DL,IND
670,Dallas Turner,DL,MIN
671,Jared Verse,DL,LAR
672,Chase Young,DL,NO
673,Cameron Jordan,DL,NO
674,Demarcus Lawrence,DL,SEA
675,Josh Sweat,DL,ARI
676,Andrew Van Ginkel,DL,MIN
677,Alex Highsmith,DL,PIT
678,Micah Parsons,DL,GB
679,Jalen Redmond,DL,MIN
680,Derrick Brown,DL,CAR
681,Jordan Davis,DL,PHI
682,Nick Herbig,DL,PIT
683,Cameron Heyward,DL,PIT
684,Carl Granderson,DL,NO
685,Bradley Chubb,DL,MIA
686,Jadeveon Clowney,DL,DAL
687,Leonard Williams,DL,SEA
688,Josh Hines-Allen,DL,JAC
689,James Pearce Jr.,DL,ATL
690,Jonathon Cooper,DL,DEN
691,Kobie Turner,DL,LAR
692,Harold Landry,DL,NE
693,Jaelan Phillips,DL,MIA
694,K'Lavon Chaisson,DL,NE
695,YaYa Diaby,DL,TB
696,Rashan Gary,DL,GB
697,Byron Murphy II,DL,SEA
698,Greg Rousseau,DL,BUF
699,Myles Murphy,DL,CIN
700,Keeanu Benton,DL,PIT
701,Quinnen Williams,DL,NYJ
702,Jonathan Allen,DL,MIN
703,Dre'Mont Jones,DL,TEN
704,George Karlaftis,DL,KC
705,Al-Quadin Muhammad,DL,DET
706,B.J. Hill,DL,CIN
707,Calais Campbell,DL,ARI
708,Zach Sieler,DL,MIA
709,Khalil Mack,DL,LAC
710,Tommy Togiai,DL,HOU
711,Jalon Walker,DL,ATL
712,Travis Jones,DL,BAL
713,Anthony Nelson,DL,TB
714,Zach Allen,DL,DEN
715,Joey Bosa,DL,BUF
716,Abdul Carter,DL,NYG
717,Gervon Dexter Sr.,DL,CHI
718,Jonah Laulu,DL,LV
719,Odafe Oweh,DL,BAL
720,Joseph Ossai,DL,CIN
721,A'Shawn Robinson,DL,CAR
722,Nic Scourton,DL,CAR
723,Justin Eboigbe,DL,LAC
724,Von Miller,DL,WAS
725,Uchenna Nwosu,DL,SEA
726,Tyree Wilson,DL,LV
727,Will McDonald IV,DL,NYJ
728,Alex Wright,DL,CLE
729,Brandon Dorlus,DL,ATL
730,Zaven Collins,DL,ARI
731,Da'Ron Payne,DL,WAS
732,Javon Hargrave,DL,MIN
733,Jacob Martin,DL,WAS
734,Grover Stewart,DL,IND
735,DeForest Buckner,DL,IND
736,James Houston,DL,DAL
737,Johnny Newton,DL,WAS
738,Dennis Gardeck,DL,JAC
739,Moro Ojomo,DL,PHI
740,D.J. Wonnum,DL,CAR
741,Chris Jones,DL,KC
742,Austin Booker,DL,CHI
743,A.J. Epenesa,DL,BUF
744,Nathan Shepherd,DL,NO
745,David Onyemata,DL,ATL
746,Jowon Briggs,DL,NYJ
747,John Franklin,DL,DEN
748,Maliek Collins,DL,CLE
749,LaCale London,DL,ATL
750,T.J. Slaton,DL,CIN
751,Vita Vea,DL,TB
752,Chris Rumph II,DL,NO
753,Jihad Ward,DL,TEN
754,Jalen Carter,DL,PHI
755,Jonathan Greenard,DL,MIN
756,Arik Armstead,DL,JAC
757,Jermaine Johnson,DL,NYJ
758,Sam Okuayinonu,DL,SF
759,Harrison Phillips,DL,NYJ
760,Neville Gallimore,DL,IND
761,Mike Green,DL,BAL
762,Bryce Huff,DL,SF
763,Sheldon Rankins,DL,HOU
764,Travon Walker,DL,JAC
765,Mason Graham,DL,CLE
766,Osa Odighizuwa,DL,DAL
767,Malcolm Roach,DL,DEN
768,Tavius Robinson,DL,BAL
769,Adetomiwa Adebawore,DL,IND
770,Donovan Ezeiruaku,DL,DAL
771,Poona Ford,DL,LAR
772,Malcolm Koonce,DL,LV
773,Bryan Bresee,DL,NO
774,Jack Sawyer,DL,PIT
775,D.J. Jones,DL,DEN
776,Sebastian Joseph-Day,DL,TEN
777,Charles Snowden,DL,LV
778,Eyioma Uwazurike,DL,DEN
779,Dorance Armstrong Jr.,DL,WAS
780,Adam Butler,DL,LV
781,Sam Williams,DL,DAL
782,Jaylen Harrell,DL,TEN
783,Zach Harrison,DL,ATL
784,John Jenkins,DL,BAL
785,Kwity Paye,DL,IND
786,Thomas Booker,DL,LV
787,Baron Browning,DL,ARI
788,Levi Drake Rodriguez,DL,MIN
789,Colby Wooden,DL,GB
790,Devonte Wyatt,DL,GB
791,Kenny Clark,DL,DAL
792,Logan Hall,DL,TB
793,Da'Shawn Hand,DL,LAC
794,DaQuan Jones,DL,BUF
795,Haason Reddick,DL,TB
796,Samson Ebukam,DL,IND
797,Ashton Gillotte,DL,KC
798,Nolan Smith,DL,PHI
799,Deone Walker,DL,BUF
800,Javon Kinlaw,DL,WAS
801,Milton Williams,DL,NE
802,Derek Barnett,DL,HOU
803,Boye Mafe,DL,SEA
804,Byron Young,DL,PHI
805,Tyler Davis,DL,LAR
806,Jonah Elliss,DL,DEN
807,Teair Tart,DL,LAC
808,Arnold Ebiketie,DL,ATL
